subject,seed,dominantEye,sex,ethnicity,race,trial,item,tStart,tEnd,exitFlag,jitter,tType,eyes_1,eyes_2,transparency,pas,response,rt,RoboRT,meanRoboRT
0,770488349,Right,,rather not say,rather not say,1,87,335287.963611194,335290.005465113,ESCAPE,7,CFS,1,0,0.6731973263793,,ESCAPE,2.01693143509328,3.88287934264146,2.18907348447831
0,770488349,Right,,rather not say,rather not say,2,89,NaN,NaN,EMPTY,1,CFS,1,0,NaN,,,NaN,NaN,NaN
0,770488349,Right,,rather not say,rather not say,3,71,NaN,NaN,EMPTY,0,NULL,0,0,NaN,,,NaN,NaN,NaN
0,770488349,Right,,rather not say,rather not say,4,30,NaN,NaN,EMPTY,2,CFS,1,0,NaN,,,NaN,NaN,NaN
0,770488349,Right,,rather not say,rather not say,5,36,NaN,NaN,EMPTY,4,CFS,1,0,NaN,,,NaN,NaN,NaN
0,770488349,Right,,rather not say,rather not say,6,91,NaN,NaN,EMPTY,8,CFS,1,0,NaN,,,NaN,NaN,NaN
0,770488349,Right,,rather not say,rather not say,7,28,NaN,NaN,EMPTY,8,CFS,1,0,NaN,,,NaN,NaN,NaN
0,770488349,Right,,rather not say,rather not say,8,14,NaN,NaN,EMPTY,6,CFS,1,0,NaN,,,NaN,NaN,NaN
0,770488349,Right,,rather not say,rather not say,9,95,NaN,NaN,EMPTY,6,CFS,1,0,NaN,,,NaN,NaN,NaN
0,770488349,Right,,rather not say,rather not say,10,20,NaN,NaN,EMPTY,6,CFS,1,0,NaN,,,NaN,NaN,NaN
0,770488349,Right,,rather not say,rather not say,11,39,NaN,NaN,EMPTY,2,CFS,1,0,NaN,,,NaN,NaN,NaN
0,770488349,Right,,rather not say,rather not say,12,77,NaN,NaN,EMPTY,8,CFS,1,0,NaN,,,NaN,NaN,NaN
0,770488349,Right,,rather not say,rather not say,13,29,NaN,NaN,EMPTY,3,CFS,1,0,NaN,,,NaN,NaN,NaN
0,770488349,Right,,rather not say,rather not say,14,26,NaN,NaN,EMPTY,4,NULL,0,0,NaN,,,NaN,NaN,NaN
0,770488349,Right,,rather not say,rather not say,15,3,NaN,NaN,EMPTY,8,CFS,1,0,NaN,,,NaN,NaN,NaN
0,770488349,Right,,rather not say,rather not say,16,90,NaN,NaN,EMPTY,5,CFS,1,0,NaN,,,NaN,NaN,NaN
0,770488349,Right,,rather not say,rather not say,17,75,NaN,NaN,EMPTY,3,NULL,0,0,NaN,,,NaN,NaN,NaN
0,770488349,Right,,rather not say,rather not say,18,52,NaN,NaN,EMPTY,0,CFS,1,0,NaN,,,NaN,NaN,NaN
0,770488349,Right,,rather not say,rather not say,19,60,NaN,NaN,EMPTY,2,NULL,0,0,NaN,,,NaN,NaN,NaN
0,770488349,Right,,rather not say,rather not say,20,69,NaN,NaN,EMPTY,4,CFS,1,0,NaN,,,NaN,NaN,NaN
0,770488349,Right,,rather not say,rather not say,21,35,NaN,NaN,EMPTY,7,NULL,0,0,NaN,,,NaN,NaN,NaN
0,770488349,Right,,rather not say,rather not say,22,31,NaN,NaN,EMPTY,5,CFS,1,0,NaN,,,NaN,NaN,NaN
0,770488349,Right,,rather not say,rather not say,23,8,NaN,NaN,EMPTY,0,CFS,1,0,NaN,,,NaN,NaN,NaN
0,770488349,Right,,rather not say,rather not say,24,92,NaN,NaN,EMPTY,0,NULL,0,0,NaN,,,NaN,NaN,NaN
0,770488349,Right,,rather not say,rather not say,25,19,NaN,NaN,EMPTY,6,NULL,0,0,NaN,,,NaN,NaN,NaN
