subject,seed,dominantEye,sex,ethnicity,race,trial,item,tStart,tEnd,exitFlag,jitter,tType,eyes_1,eyes_2,transparency,pas,response,rt
2,765152725,Right,,rather not say,rather not say,1,92,165837.378258156,165840.253508549,OK,4,CFS,1,0,0.5,2@,Return,2.88086260893033
2,765152725,Right,,rather not say,rather not say,2,12,165841.695308149,165844.320543718,OK,2,CFS,1,0,0.5,2@,Return,2.63094634856679
2,765152725,Right,,rather not say,rather not say,3,16,165845.737336055,165849.112644104,OK,8,CFS,1,0,0.5,2@,Return,3.38094803589047
2,765152725,Right,,rather not say,rather not say,4,82,165850.529439017,165853.404696799,OK,4,CFS,1,0,0.5,2@,Return,2.88104310122435
2,765152725,Right,,rather not say,rather not say,5,24,165854.821483187,165858.196793989,OK,8,CFS,1,0,0.5,2@,Return,3.38095004312345
2,765152725,Right,,rather not say,rather not say,6,79,165859.613590269,165862.363834308,OK,3,CFS,1,0,0.5,2@,Return,2.75590424920665
2,765152725,Right,,rather not say,rather not say,7,33,165863.780631955,165867.155937695,OK,8,CFS,1,0,0.5,2@,Return,3.38095584785333
2,765152725,Right,,rather not say,rather not say,8,95,165868.572734419,165871.823026434,OK,7,CFS,1,0,0.5,2@,Return,3.25592342586606
2,765152725,Right,,rather not say,rather not say,9,81,165873.239818967,165875.990065846,OK,3,CFS,1,0,0.5,2@,Return,2.75585277439677
2,765152725,Right,,rather not say,rather not say,10,73,165877.406865429,165877.531876011,CAUGHT,7,NULL,0,0,0,,Return,0.130570276931394
2,765152725,Right,,rather not say,rather not say,11,62,165879.207028625,165882.332313431,OK,6,CFS,1,0,0.5,2@,Return,3.13085804774892
2,765152725,Right,,rather not say,rather not say,12,68,165883.749103016,165883.874117062,CAUGHT,4,NULL,0,0,0,,Return,0.130515321769053
2,765152725,Right,,rather not say,rather not say,13,98,165885.28257345,165887.907811131,OK,2,CFS,1,0,0.5,2@,Return,2.63084327511024
2,765152725,Right,,rather not say,rather not say,14,47,165889.324608477,165891.824834688,OK,1,CFS,1,0,0.5,2@,Return,2.5058471991797
2,765152725,Right,,rather not say,rather not say,15,48,165893.241629601,165895.866867158,OK,2,CFS,1,0,0.5,2@,Return,2.63099572851206
